DATE,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20150222,5766,262.3709988,7452,4320,1358,1260,10275,1712.75026,,,,,,,,,,
20150223,3091,157.2879995,4459,30240,647,7380,5930,1607.648754,16200,1020,38700,1,16200,9000,22200,13200,62,0
20150224,3554,184.5470003,5245,28080,725,9180,6898,1618.047663,1559,1789,32100,1,46,15025,30473,15448,100,0
20150225,3316,162.1919992,4761,28080,720,12720,6319,1595.674155,6359,1976,15900,1,5340,4260,8824,4564,31,0
20150226,2977,148.2689997,4354,29160,765,14520,5713,1581.732649,9479,1979,40200,1,8197,9987,30290,20303,82,0
20150227,5218,245.1049997,7054,25740,736,4740,9555,1678.550142,8759,3027,31200,1,6593,8201,21640,13439,65,0
20150228,157,8.421999991,236,32040,34,16080,310,1441.848635,9059,2355,43500,1,8385,15660,33053,17393,100,0
20150301,465,25.50900003,711,31800,208,17520,911,1458.917128,,,,,,,,,,
20150302,3983,196.9629999,5773,30180,1417,12840,7628,1630.352621,,,,,,,,,,
20150303,3789,186.5390015,5462,28200,686,8520,7239,1619.910116,34199,415,35700,0,33787,1658,1658,0,5,0
20150304,795,40.61900011,1141,31320,216,19620,1504,1473.971608,11159,1392,46800,0,10302,13081,35820,22739,99,0
20150305,2807,138.1020005,4138,29820,685,8040,5471,1571.436102,,,,,,,,,,
20150306,4512,214.5879998,6396,27660,759,14580,8533,1647.903594,9359,7470,42600,1,2303,10260,33105,22845,91,0
20150307,2693,125.4999999,3838,28800,681,11940,5112,1558.797087,6599,1549,27300,0,5232,6780,20640,13860,62,0
20150308,5949,274.4020002,7976,26880,853,12660,10849,1707.680581,12359,1287,28200,2,11631,5262,15560,10298,43,0
20150309,2792,136.3519997,3976,29760,684,15900,5304,1569.612073,11939,2367,46200,3,10973,6773,32920,26147,80,0
20150310,,,,,,,,114.6759138,,,,,,,,,,
